instruction,input,output
What is the publication date and link for the paper 'DiffAssemble: A Unified Graph-Diffusion Model for 2D and 3D Reassembly'?,,The publication date is 2024-02-29 and you can find the paper here https://arxiv.org/abs/2402.19302
What are the major insights presented in the paper 'Situational Awareness Matters in 3D Vision Language Reasoning'?,,The publication date is 2024-01-17 and you can find the paper here https://arxiv.org/abs/2401.09340
What is the publication date and link for the paper 'PaSCo: Urban 3D Panoptic Scene Completion with Uncertainty Awareness'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.02158
What is the main contribution of the research paper titled 'DreamAvatar: Text-and-Shape Guided 3D Human Avatar Generation via Diffusion Models'?,,The publication date is 2024-02-27 and you can find the paper here https://arxiv.org/html/2402.17292v1
Can you summarize the key findings of the study 'Mirasol3B: A Multimodal Autoregressive Model for Time-Aligned and Contextual Modalities'?,"Publication Date: 2023-11-09, ArXiv Link: https://arxiv.org/abs/2311.05698","In the paper 'Mirasol3B: A Multimodal Autoregressive Model for Time-Aligned and Contextual Modalities', One of the main challenges of multimodal learning is the need to combine heterogeneous modalities e.g., video, audio, text. For example, video and audio are obtained at much higher rates than text and are roughly aligned in time. They are often not synchronized with text, which comes as a global context, e.g., a title, or a description. Furthermore, video and audio inputs are of much larger volumes, and grow as the video length increases, which naturally requires more compute dedicated to these modalities and makes modeling of long-range dependencies harder. We here decouple the multimodal modeling, dividing it into separate, focused autoregressive models, processing the inputs according to the characteristics of the modalities. We propose a multimodal model, called Mirasol3B, consisting of an autoregressive component for the time-synchronized modalities audio and video, and an autoregressive component for the context modalities which are not necessarily aligned in time but are still sequential. To address the long-sequences of the video-audio inputs, we propose to further partition the video and audio sequences in consecutive snippets and autoregressively process their representations. To that end, we propose a Combiner mechanism, which models the audio-video information jointly within a timeframe. The Combiner learns to extract audio and video features from raw spatio-temporal signals, and then learns to fuse these features producing compact but expressive representations per snippet. Our approach achieves the state-of-the-art on well established multimodal benchmarks, outperforming much larger models. It effectively addresses the high computational demand of media inputs by both learning compact representations, controlling the sequence length of the audio-video feature representations, and modeling their dependencies in time."
What is the publication date and link for the paper 'Discontinuity-preserving Normal Integration with Auxiliary Edges'?,,The publication date is 2024-04-04 and you can find the paper here https://arxiv.org/abs/2404.03138
What is the publication date and link for the paper 'Depth  Information Assisted Collaborative Mutual Promotion Network for Single Image Dehazing'?,,The publication date is 2024-03-02 and you can find the paper here https://arxiv.org/abs/2403.01105
Could you explain the significance of 'VoCo: A Simple-yet-Effective Volume Contrastive Learning Framework for 3D Medical Image Analysis' in simple terms?,,The publication date is 2024-02-27 and you can find the paper here https://arxiv.org/abs/2402.17300v1
What is the publication date and link for the paper 'JoAPR: Cleaning the Lens of Prompt Learning for Vision-Language Models'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.01564
Can you summarize the key findings of the study 'F$^3$Loc: Fusion and Filtering for Floorplan Localization'?,"Publication Date: 2024-03-05, ArXiv Link: https://arxiv.org/abs/2403.03370","In the paper 'F$^3$Loc: Fusion and Filtering for Floorplan Localization', In this paper we propose an efficient data-driven solution to self-localization within a floorplan. Floorplan data is readily available, long-term persistent and inherently robust to changes in the visual appearance. Our method does not require retraining per map and location or demand a large database of images of the area of interest. We propose a novel probabilistic model consisting of an observation and a novel temporal filtering module. Operating internally with an efficient ray-based representation, the observation module consists of a single and a multiview module to predict horizontal depth from images and fuses their results to benefit from advantages offered by either methodology. Our method operates on conventional consumer hardware and overcomes a common limitation of competing methods that often demand upright images. Our full system meets real-time requirements, while outperforming the state-of-the-art by a significant margin."
Can you summarize the key findings of the study 'Open3DIS: Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance'?,"Publication Date: 2023-12-17, ArXiv Link: https://arxiv.org/abs/2312.10671","In the paper 'Open3DIS: Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance', We introduce Open3DIS, a novel solution designed to tackle the problem of Open-Vocabulary Instance Segmentation within 3D scenes. Objects within 3D environments exhibit diverse shapes, scales, and colors, making precise instance-level identification a challenging task. Recent advancements in Open-Vocabulary scene understanding have made significant strides in this area by employing class-agnostic 3D instance proposal networks for object localization and learning queryable features for each 3D mask. While these methods produce high-quality instance proposals, they struggle with identifying small-scale and geometrically ambiguous objects. The key idea of our method is a new module that aggregates 2D instance masks across frames and maps them to geometrically coherent point cloud regions as high-quality object proposals addressing the above limitations. These are then combined with 3D class-agnostic instance proposals to include a wide range of objects in the real world. To validate our approach, we conducted experiments on three prominent datasets, including ScanNet200, S3DIS, and Replica, demonstrating significant performance gains in segmenting objects with diverse categories over the state-of-the-art approaches."
What is the publication date and link for the paper 'Binarized Low-light Raw Video Enhancement'?,,The publication date is 2024-03-29 and you can find the paper here https://arxiv.org/abs/2403.19944
What is the publication date and link for the paper 'Generating Non-Stationary Textures using Self-Rectification'?,,The publication date is 2024-01-05 and you can find the paper here https://arxiv.org/abs/2401.02847
What is the publication date and link for the paper 'SurMo: Surface-based 4D Motion Modeling for Dynamic Human Rendering'?,,The publication date is 2024-04-01 and you can find the paper here https://arxiv.org/abs/2404.01225
Could you explain the significance of 'Vector Graphics Generation via Mutually Impulsed Dual-domain Diffusion' in simple terms?,,The publication date is 2023-12-16 and you can find the paper here https://arxiv.org/abs/2312.10540
What is the publication date and link for the paper 'Equivariant plug-and-play image reconstruction'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/html/2312.01831v2
"Can you summarize the key findings of the study 'SplaTAM: Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM'?","Publication Date: 2023-12-04, ArXiv Link: https://arxiv.org/abs/2312.02126","In the paper 'SplaTAM: Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM', Dense simultaneous localization and mapping SLAM is crucial for robotics and augmented reality applications. However, current methods are often hampered by the non-volumetric or implicit way they represent a scene. This work introduces SplaTAM, an approach that, for the first time, leverages explicit volumetric representations, i.e., 3D Gaussians, to enable high-fidelity reconstruction from a single unposed RGB-D camera, surpassing the capabilities of existing methods. SplaTAM employs a simple online tracking and mapping system tailored to the underlying Gaussian representation. It utilizes a silhouette mask to elegantly capture the presence of scene density. This combination enables several benefits over prior representations, including fast rendering and dense optimization, quickly determining if areas have been previously mapped, and structured map expansion by adding more Gaussians. Extensive experiments show that SplaTAM achieves up to 2x superior performance in camera pose estimation, map construction, and novel-view synthesis over existing methods, paving the way for more immersive high-fidelity SLAM applications."
What is the publication date and link for the paper 'Motion-adaptive Separable Collaborative Filters for Blind Motion Deblurring'?,,The publication date is 2024-04-19 and you can find the paper here https://arxiv.org/abs/2404.13153
What is the publication date and link for the paper 'BoQ: A Place is Worth a Bag of Learnable Queries'?,,The publication date is 2024-05-12 and you can find the paper here https://arxiv.org/abs/2405.07364
What is the publication date and link for the paper 'Deformable One-shot Face Stylization via DINO Semantic Guidance'?,,The publication date is 2024-03-01 and you can find the paper here https://arxiv.org/abs/2403.00459
How does 'Direct2.5: Diverse Text-to-3D Generation via Multi-view 2.5D Diffusion' impact the current field of study?,"Publication Date: 2023-11-27, ArXiv Link: https://arxiv.org/abs/2311.15980","In the paper 'Direct2.5: Diverse Text-to-3D Generation via Multi-view 2.5D Diffusion', Recent advances in generative AI have unveiled significant potential for the creation of 3D content. However, current methods either apply a pre-trained 2D diffusion model with the time-consuming score distillation sampling SDS, or a direct 3D diffusion model trained on limited 3D data losing generation diversity. In this work, we approach the problem by employing a multi-view 2.5D diffusion fine-tuned from a pre-trained 2D diffusion model. The multi-view 2.5D diffusion directly models the structural distribution of 3D data, while still maintaining the strong generalization ability of the original 2D diffusion model, filling the gap between 2D diffusion-based and direct 3D diffusion-based methods for 3D content generation. During inference, multi-view normal maps are generated using the 2.5D diffusion, and a novel differentiable rasterization scheme is introduced to fuse the almost consistent multi-view normal maps into a consistent 3D model. We further design a normal-conditioned multi-view image generation module for fast appearance generation given the 3D geometry. Our method is a one-pass diffusion process and does not require any SDS optimization as post-processing. We demonstrate through extensive experiments that, our direct 2.5D generation with the specially-designed fusion scheme can achieve diverse, mode-seeking-free, and high-fidelity 3D content generation in only 10 seconds. Project page httpsnju-3dv.github.ioprojectsdirect25."
What is the publication date and link for the paper 'Learning CNN on ViT: A Hybrid Model to Explicitly Class-specific Boundaries for Domain Adaptation'?,,The publication date is 2024-03-27 and you can find the paper here https://arxiv.org/abs/2403.18360
What is the main contribution of the research paper titled 'Versatile Navigation under Partial Observability via Value-Guided Diffusion Policy'?,,The publication date is 2024-04-01 and you can find the paper here https://arxiv.org/abs/2404.02176
How does 'PerAda: Parameter-Efficient Federated Learning Personalization with Generalization Guarantees' impact the current field of study?,"Publication Date: 2024-05-16, ArXiv Link: https://arxiv.org/abs/2405.09771","In the paper 'PerAda: Parameter-Efficient Federated Learning Personalization with Generalization Guarantees', Federated Prompt Learning FPL incorporates large pre-trained Vision-Language models VLM into federated learning through prompt tuning. The transferable representations and remarkable generalization capacity of VLM make them highly compatible with the integration of federated learning. Addressing data heterogeneity in federated learning requires personalization, but excessive focus on it across clients could compromise the models ability to generalize effectively. To preserve the impressive generalization capability of VLM, it is crucial to strike a balance between personalization and generalization in FPL. To tackle this challenge, we proposed Federated Prompt Learning with CLIP Generalization and low-rank Personalization FedPGP, which employs pre-trained CLIP to provide knowledge-guidance on the global prompt for improved generalization and incorporates a low-rank adaptation term to personalize the global prompt. Further, FedPGP integrates a prompt-wise contrastive loss to achieve knowledge guidance and personalized adaptation simultaneously, enabling a harmonious balance between personalization and generalization in FPL. We conduct extensive experiments on various datasets to explore base-to-novel generalization in both category-level and domain-level scenarios with heterogeneous data, showing the superiority of FedPGP in balancing generalization and personalization."
What is the publication date and link for the paper 'Bi-Causal: Group Activity Recognition via Bidirectional Causality'?,,The publication date is 2023-12-01 and you can find the paper here https://arxiv.org/html/2312.00404v1
What is the publication date and link for the paper 'MetaCloak: Preventing Unauthorized Subject-driven Text-to-image Diffusion-based Synthesis via Meta-learning'?,,The publication date is 2023-11-22 and you can find the paper here https://arxiv.org/abs/2311.13127v3
What is the main contribution of the research paper titled 'BIVDiff: A Training-free Framework for General-Purpose Video Synthesis via Bridging Image and Video Diffusion Models'?,,The publication date is 2023-12-05 and you can find the paper here https://arxiv.org/abs/2312.02813
What is the publication date and link for the paper 'A Simple Recipe for Contrastively Pre-training Video-First Encoders Beyond 16 Frames'?,,The publication date is 2023-12-12 and you can find the paper here https://arxiv.org/abs/2312.07395
What are the major insights presented in the paper 'DaReNeRF: Direction-aware Representation for Dynamic Scenes'?,,The publication date is 2024-03-04 and you can find the paper here https://arxiv.org/abs/2403.02265v1
How does 'Learning without Exact Guidance: Updating Large-scale High-resolution Land Cover Maps from Low-resolution Historical Labels' impact the current field of study?,"Publication Date: 2024-03-05, ArXiv Link: https://arxiv.org/abs/2403.02746","In the paper 'Learning without Exact Guidance: Updating Large-scale High-resolution Land Cover Maps from Low-resolution Historical Labels', Large-scale high-resolution HR land-cover mapping is a vital task to survey the Earths surface and resolve many challenges facing humanity. However, it is still a non-trivial task hindered by complex ground details, various landforms, and the scarcity of accurate training labels over a wide-span geographic area. In this paper, we propose an efficient, weakly supervised framework Paraformer to guide large-scale HR land-cover mapping with easy-access historical land-cover data of low resolution LR. Specifically, existing land-cover mapping approaches reveal the dominance of CNNs in preserving local ground details but still suffer from insufficient global modeling in various landforms. Therefore, we design a parallel CNN-Transformer feature extractor in Paraformer, consisting of a downsampling-free CNN branch and a Transformer branch, to jointly capture local and global contextual information. Besides, facing the spatial mismatch of training data, a pseudo-label-assisted training PLAT module is adopted to reasonably refine LR labels for weakly supervised semantic segmentation of HR images. Experiments on two large-scale datasets demonstrate the superiority of Paraformer over other state-of-the-art methods for automatically updating HR land-cover maps from LR historical labels."
What is the publication date and link for the paper 'SG-PGM: Partial Graph Matching Network with Semantic Geometric Fusion for 3D Scene Graph Alignment and Its Downstream Tasks'?,,The publication date is 2024-03-28 and you can find the paper here https://arxiv.org/abs/2403.19474
Could you explain the significance of 'Frequency-Adaptive Dilated Convolution for Semantic Segmentation' in simple terms?,,The publication date is 2024-03-08 and you can find the paper here https://arxiv.org/abs/2403.05369
Can you summarize the key findings of the study 'Distilled Datamodel with Reverse Gradient Matching'?,"Publication Date: 2024-04-22, ArXiv Link: https://arxiv.org/abs/2404.14006","In the paper 'Distilled Datamodel with Reverse Gradient Matching', The proliferation of large-scale AI models trained on extensive datasets has revolutionized machine learning. With these models taking on increasingly central roles in various applications, the need to understand their behavior and enhance interpretability has become paramount. To investigate the impact of changes in training data on a pre-trained model, a common approach is leave-one-out retraining. This entails systematically altering the training dataset by removing specific samples to observe resulting changes within the model. However, retraining the model for each altered dataset presents a significant computational challenge, given the need to perform this operation for every dataset variation. In this paper, we introduce an efficient framework for assessing data impact, comprising offline training and online evaluation stages. During the offline training phase, we approximate the influence of training data on the target model through a distilled synset, formulated as a reversed gradient matching problem. For online evaluation, we expedite the leave-one-out process using the synset, which is then utilized to compute the attribution matrix based on the evaluation objective. Experimental evaluations, including training data attribution and assessments of data quality, demonstrate that our proposed method achieves comparable model behavior evaluation while significantly speeding up the process compared to the direct retraining method."
What is the publication date and link for the paper 'Memory-based Adapters for Online 3D Scene Perception'?,,The publication date is 2024-03-11 and you can find the paper here https://arxiv.org/abs/2403.06974
Can you summarize the key findings of the study 'Ungeneralizable Examples'?,"Publication Date: 2024-04-22, ArXiv Link: https://arxiv.org/abs/2404.14016","In the paper 'Ungeneralizable Examples', The training of contemporary deep learning models heavily relies on publicly available data, posing a risk of unauthorized access to online data and raising concerns about data privacy. Current approaches to creating unlearnable data involve incorporating small, specially designed noises, but these methods strictly limit data usability, overlooking its potential usage in authorized scenarios. In this paper, we extend the concept of unlearnable data to conditional data learnability and introduce textbfUntextbfGeneralizable textbfExamples UGEs. UGEs exhibit learnability for authorized users while maintaining unlearnability for potential hackers. The protector defines the authorized network and optimizes UGEs to match the gradients of the original data and its ungeneralizable version, ensuring learnability. To prevent unauthorized learning, UGEs are trained by maximizing a designated distance loss in a common feature space. Additionally, to further safeguard the authorized side from potential attacks, we introduce additional undistillation optimization. Experimental results on multiple datasets and various networks demonstrate that the proposed UGEs framework preserves data usability while reducing training performance on hacker networks, even under different types of attacks."
What is the publication date and link for the paper 'IIRP-Net: Iterative Inference Residual Pyramid Network for Enhanced Image Registration'?,,The publication date is 2023-12-20 and you can find the paper here https://arxiv.org/html/2312.13396v1
What is the publication date and link for the paper 'Towards Efficient Replay in Federated Incremental Learning'?,,The publication date is 2024-03-09 and you can find the paper here https://arxiv.org/abs/2403.05890
What is the publication date and link for the paper 'Disentangled Pre-training for Human-Object Interaction Detection'?,,The publication date is 2024-04-02 and you can find the paper here https://arxiv.org/abs/2404.01725
What is the publication date and link for the paper 'RegionGPT: Towards Region Understanding Vision Language Model'?,,The publication date is 2024-03-04 and you can find the paper here https://arxiv.org/abs/2403.02330v1
What is the publication date and link for the paper 'Turb-Seg-Res: A Segment-then-Restore Pipeline for Dynamic Videos with Atmospheric Turbulence'?,,The publication date is 2024-04-21 and you can find the paper here https://arxiv.org/abs/2404.13605
What is the publication date and link for the paper 'Spin-UP: Spin Light for Natural Light Uncalibrated Photometric Stereo'?,,The publication date is 2024-04-02 and you can find the paper here https://arxiv.org/abs/2404.01612
What is the publication date and link for the paper 'Unsupervised Video Domain Adaptation with Masked Pre-Training and Collaborative Self-Training'?,,The publication date is 2023-12-05 and you can find the paper here https://arxiv.org/abs/2312.02914
How does 'Would Deep Generative Models Amplify Bias in Future Models?' impact the current field of study?,"Publication Date: 2024-04-04, ArXiv Link: https://arxiv.org/abs/2404.03242","In the paper 'Would Deep Generative Models Amplify Bias in Future Models?', We investigate the impact of deep generative models on potential social biases in upcoming computer vision models. As the internet witnesses an increasing influx of AI-generated images, concerns arise regarding inherent biases that may accompany them, potentially leading to the dissemination of harmful content. This paper explores whether a detrimental feedback loop, resulting in bias amplification, would occur if generated images were used as the training data for future models. We conduct simulations by progressively substituting original images in COCO and CC3M datasets with images generated through Stable Diffusion. The modified datasets are used to train OpenCLIP and image captioning models, which we evaluate in terms of quality and bias. Contrary to expectations, our findings indicate that introducing generated images during training does not uniformly amplify bias. Instead, instances of bias mitigation across specific tasks are observed. We further explore the factors that may influence these phenomena, such as artifacts in image generation e.g., blurry faces or pre-existing biases in the original datasets."
What are the major insights presented in the paper 'Smooth Diffusion: Crafting Smooth Latent Spaces in Diffusion Models'?,,The publication date is 2023-12-07 and you can find the paper here https://arxiv.org/abs/2312.04410
What is the main contribution of the research paper titled 'Large Language Models are Good Prompt Learners for Low-Shot Image Classification'?,,The publication date is 2023-12-07 and you can find the paper here https://arxiv.org/abs/2312.04076
What is the publication date and link for the paper 'SpikeNeRF: Learning Neural Radiance Fields from Continuous Spike Stream'?,,The publication date is 2024-03-17 and you can find the paper here https://arxiv.org/abs/2403.11222
What is the publication date and link for the paper 'UVEB: A Large-scale Benchmark and Baseline Towards Real-World Underwater Video Enhancement'?,,The publication date is 2024-04-22 and you can find the paper here https://arxiv.org/abs/2404.14542
What is the publication date and link for the paper 'Single-View Scene Point Cloud Human Grasp Generation'?,,The publication date is 2024-04-24 and you can find the paper here https://arxiv.org/abs/2404.15815
What is the publication date and link for the paper 'MP5: A Multi-modal Open-ended Embodied System in Minecraft via Active Perception'?,,The publication date is 2023-12-12 and you can find the paper here https://arxiv.org/abs/2312.07472
What is the publication date and link for the paper 'Scaling Up Video Summarization Pretraining with Large Language Models'?,,The publication date is 2024-04-04 and you can find the paper here https://arxiv.org/abs/2404.03398
Could you explain the significance of 'CARZero: Cross-Attention Alignment for Radiology Zero-Shot Classification' in simple terms?,,The publication date is 2024-02-27 and you can find the paper here https://arxiv.org/abs/2402.17417
What is the publication date and link for the paper 'LiDAR-Net: A Real-scanned 3D Point Cloud Dataset for Indoor Scenes'?,,The publication date is 2023-09-24 and you can find the paper here https://arxiv.org/html/2309.13596v2
Can you summarize the key findings of the study 'Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection'?,"Publication Date: 2023-12-16, ArXiv Link: https://arxiv.org/abs/2312.10461","In the paper 'Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection', Recently, the proliferation of highly realistic synthetic images, facilitated through a variety of GANs and Diffusions, has significantly heightened the susceptibility to misuse. While the primary focus of deepfake detection has traditionally centered on the design of detection algorithms, an investigative inquiry into the generator architectures has remained conspicuously absent in recent years. This paper contributes to this lacuna by rethinking the architectures of CNN-based generators, thereby establishing a generalized representation of synthetic artifacts. Our findings illuminate that the up-sampling operator can, beyond frequency-based artifacts, produce generalized forgery artifacts. In particular, the local interdependence among image pixels caused by upsampling operators is significantly demonstrated in synthetic images generated by GAN or diffusion. Building upon this observation, we introduce the concept of Neighboring Pixel RelationshipsNPR as a means to capture and characterize the generalized structural artifacts stemming from up-sampling operations. A comprehensive analysis is conducted on an open-world dataset, comprising samples generated by tft28 distinct generative models. This analysis culminates in the establishment of a novel state-of-the-art performance, showcasing a remarkable tft11.6 improvement over existing methods. The code is available at httpsgithub.comchuangchuangtanNPR-DeepfakeDetection."
What is the publication date and link for the paper 'SDDGR: Stable Diffusion-based Deep Generative Replay for Class Incremental Object Detection'?,,The publication date is 2024-02-27 and you can find the paper here https://arxiv.org/abs/2402.17323
What is the publication date and link for the paper 'Mean-Shift Feature Transformer'?,,The publication date is 2024-04-17 and you can find the paper here https://arxiv.org/abs/2404.11062
Can you summarize the key findings of the study 'TAMM: TriAdapter Multi-Modal Learning for 3D Shape Understanding'?,"Publication Date: 2024-02-28, ArXiv Link: https://arxiv.org/abs/2402.18490","In the paper 'TAMM: TriAdapter Multi-Modal Learning for 3D Shape Understanding', The limited scale of current 3D shape datasets hinders the advancements in 3D shape understanding, and motivates multi-modal learning approaches which transfer learned knowledge from data-abundant 2D image and language modalities to 3D shapes. However, even though the image and language representations have been aligned by cross-modal models like CLIP, we find that the image modality fails to contribute as much as the language in existing multi-modal 3D representation learning methods. This is attributed to the domain shift in the 2D images and the distinct focus of each modality. To more effectively leverage both modalities in the pre-training, we introduce TriAdapter Multi-Modal Learning TAMM -- a novel two-stage learning approach based on three synergistic adapters. First, our CLIP Image Adapter mitigates the domain gap between 3D-rendered images and natural images, by adapting the visual representations of CLIP for synthetic image-text pairs. Subsequently, our Dual Adapters decouple the 3D shape representation space into two complementary sub-spaces one focusing on visual attributes and the other for semantic understanding, which ensure a more comprehensive and effective multi-modal pre-training. Extensive experiments demonstrate that TAMM consistently enhances 3D representations for a wide range of 3D encoder architectures, pre-training datasets, and downstream tasks. Notably, we boost the zero-shot classification accuracy on Objaverse-LVIS from 46.8 to 50.7, and improve the 5-way 10-shot linear probing classification accuracy on ModelNet40 from 96.1 to 99.0. Project page httpsalanzhangcs.github.iotamm-page."
What is the publication date and link for the paper 'Open-Vocabulary 3D Semantic Segmentation with Foundation Models'?,,The publication date is 2023-06-23 and you can find the paper here https://arxiv.org/abs/2306.13631
What is the publication date and link for the paper 'Multiplane Prior Guided Few-Shot Aerial Scene Rendering'?,,The publication date is 2024-02-26 and you can find the paper here http://export.arxiv.org/abs/2402.16407
How does 'One-step Diffusion with Distribution Matching Distillation' impact the current field of study?,"Publication Date: 2023-11-30, ArXiv Link: https://arxiv.org/abs/2311.18828","In the paper 'One-step Diffusion with Distribution Matching Distillation', Diffusion models generate high-quality images but require dozens of forward passes. We introduce Distribution Matching Distillation DMD, a procedure to transform a diffusion model into a one-step image generator with minimal impact on image quality. We enforce the one-step image generator match the diffusion model at distribution level, by minimizing an approximate KL divergence whose gradient can be expressed as the difference between 2 score functions, one of the target distribution and the other of the synthetic distribution being produced by our one-step generator. The score functions are parameterized as two diffusion models trained separately on each distribution. Combined with a simple regression loss matching the large-scale structure of the multi-step diffusion outputs, our method outperforms all published few-step diffusion approaches, reaching 2.62 FID on ImageNet 64x64 and 11.49 FID on zero-shot COCO-30k, comparable to Stable Diffusion but orders of magnitude faster. Utilizing FP16 inference, our model generates images at 20 FPS on modern hardware."
What is the main contribution of the research paper titled 'Towards 3D Vision with Low-Cost Single-Photon Cameras'?,,The publication date is 2024-03-26 and you can find the paper here https://arxiv.org/abs/2403.17801
What is the publication date and link for the paper 'UniGarmentManip: A Unified Framework for Category-Level Garment Manipulation via Dense Visual Correspondence'?,,The publication date is 2024-05-11 and you can find the paper here https://arxiv.org/abs/2405.06903
What are the major insights presented in the paper 'Learning Diffusion Texture Priors for Image Restoration'?,,The publication date is 2023-12-14 and you can find the paper here https://arxiv.org/abs/2312.08606
How does 'Move Anything with Layered Scene Diffusion' impact the current field of study?,"Publication Date: 2024-04-10, ArXiv Link: https://arxiv.org/abs/2404.07178","In the paper 'Move Anything with Layered Scene Diffusion', Diffusion models generate images with an unprecedented level of quality, but how can we freely rearrange image layouts Recent works generate controllable scenes via learning spatially disentangled latent codes, but these methods do not apply to diffusion models due to their fixed forward process. In this work, we propose SceneDiffusion to optimize a layered scene representation during the diffusion sampling process. Our key insight is that spatial disentanglement can be obtained by jointly denoising scene renderings at different spatial layouts. Our generated scenes support a wide range of spatial editing operations, including moving, resizing, cloning, and layer-wise appearance editing operations, including object restyling and replacing. Moreover, a scene can be generated conditioned on a reference image, thus enabling object moving for in-the-wild images. Notably, this approach is training-free, compatible with general text-to-image diffusion models, and responsive in less than a second."
What is the main contribution of the research paper titled 'MoML: Online Meta Adaptation for 3D Human Motion Prediction'?,,The publication date is 2024-05-05 and you can find the paper here https://arxiv.org/abs/2405.02911
Could you explain the significance of 'Unveiling the Power of Audio-Visual Early Fusion Transformers with Dense Interactions through Masked Modeling' in simple terms?,,The publication date is 2023-12-02 and you can find the paper here https://arxiv.org/abs/2312.01017
What is the publication date and link for the paper 'HumanNeRF-SE: A Simple yet Effective Approach to Animate HumanNeRF with Diverse Poses'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.02232
What is the publication date and link for the paper 'GALA: Generating Animatable Layered Assets from a Single Scan'?,,The publication date is 2024-01-23 and you can find the paper here https://arxiv.org/abs/2401.12979
What is the publication date and link for the paper 'A Vision Check-up for Language Models'?,,The publication date is 2024-01-03 and you can find the paper here https://arxiv.org/abs/2401.01862
What is the publication date and link for the paper 'Boosting Adversarial Transferability by Block Shuffle and Rotation'?,,The publication date is 2023-08-20 and you can find the paper here https://arxiv.org/abs/2308.10299
What is the main contribution of the research paper titled 'Residual Learning in Diffusion Models'?,,The publication date is 2023-08-25 and you can find the paper here https://arxiv.org/abs/2308.13712
"How does 'What, How, and When Should Object Detectors Update in Continually Changing Test Domains?' impact the current field of study?","Publication Date: 2023-12-12, ArXiv Link: https://arxiv.org/abs/2312.08875","In the paper 'What, How, and When Should Object Detectors Update in Continually Changing Test Domains?', It is a well-known fact that the performance of deep learning models deteriorates when they encounter a distribution shift at test time. Test-time adaptation TTA algorithms have been proposed to adapt the model online while inferring test data. However, existing research predominantly focuses on classification tasks through the optimization of batch normalization layers or classification heads, but this approach limits its applicability to various model architectures like Transformers and makes it challenging to apply to other tasks, such as object detection. In this paper, we propose a novel online adaption approach for object detection in continually changing test domains, considering which part of the model to update, how to update it, and when to perform the update. By introducing architecture-agnostic and lightweight adaptor modules and only updating these while leaving the pre-trained backbone unchanged, we can rapidly adapt to new test domains in an efficient way and prevent catastrophic forgetting. Furthermore, we present a practical and straightforward class-wise feature aligning method for object detection to resolve domain shifts. Additionally, we enhance efficiency by determining when the model is sufficiently adapted or when additional adaptation is needed due to changes in the test distribution. Our approach surpasses baselines on widely used benchmarks, achieving improvements of up to 4.9p and 7.9p in mAP for COCO rightarrow COCO-corrupted and SHIFT, respectively, while maintaining about 20 FPS or higher."
What is the publication date and link for the paper 'Soften to Defend: Towards Adversarial Robustness via Self-Guided Label Refinement'?,,The publication date is 2024-03-14 and you can find the paper here https://arxiv.org/abs/2403.09101
What is the publication date and link for the paper 'Infrared Adversarial Car Stickers'?,,The publication date is 2024-05-16 and you can find the paper here https://arxiv.org/abs/2405.09924
What are the major insights presented in the paper 'Joint Reconstruction of 3D Human and Object via Contact-Based Refinement Transformer'?,,The publication date is 2024-04-07 and you can find the paper here https://arxiv.org/abs/2404.04819
What is the publication date and link for the paper 'SingularTrajectory: Universal Trajectory Predictor Using Diffusion Model'?,,The publication date is 2024-03-27 and you can find the paper here https://arxiv.org/abs/2403.18452v1
What is the publication date and link for the paper 'Gradient Reweighting: Towards Imbalanced Class-Incremental Learning'?,,The publication date is 2024-02-28 and you can find the paper here https://arxiv.org/abs/2402.18528
What is the main contribution of the research paper titled 'Batch Normalization Alleviates the Spectral Bias in Coordinate Networks'?,,The publication date is 2023-06-29 and you can find the paper here https://arxiv.org/abs/2306.16999
Can you summarize the key findings of the study 'MatSynth: A Modern PBR Materials Dataset'?,"Publication Date: 2024-01-11, ArXiv Link: https://arxiv.org/abs/2401.06056","In the paper 'MatSynth: A Modern PBR Materials Dataset', We introduce MatSynth, a dataset of 4,000 CC0 ultra-high resolution PBR materials. Materials are crucial components of virtual relightable assets, defining the interaction of light at the surface of geometries. Given their importance, significant research effort was dedicated to their representation, creation and acquisition. However, in the past 6 years, most research in material acquisiton or generation relied either on the same unique dataset, or on company-owned huge library of procedural materials. With this dataset we propose a significantly larger, more diverse, and higher resolution set of materials than previously publicly available. We carefully discuss the data collection process and demonstrate the benefits of this dataset on material acquisition and generation applications. The complete data further contains metadata with each materials origin, license, category, tags, creation method and, when available, descriptions and physical size, as well as 3M renderings of the augmented materials, in 1K, under various environment lightings. The MatSynth dataset is released through the project page at httpswww.gvecchio.commatsynth."
What is the publication date and link for the paper 'Versatile Medical Image Segmentation Learned from Multi-Source Datasets via Model Self-Disambiguation'?,,The publication date is 2023-11-17 and you can find the paper here https://arxiv.org/abs/2311.10696
